,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price
338116,4,2,0.28,Blackwood,New Jersey,8012,2172,2009-02-05,335000
338142,6,4,0.9,Bridgeton,New Jersey,8302,7379,1995-12-21,990000
338143,4,3,0.23,Middletown,Delaware,19709,4846,2019-12-02,370000
338145,3,2,0.2,Middletown,Delaware,19709,1859,2020-08-27,488900
338146,4,5,1.37,Middletown,Delaware,19709,3350,2016-07-19,510000
338151,3,2,0.08,Bridgeton,New Jersey,8302,1703,1992-10-21,60000
338152,2,1,0.07,Bridgeton,New Jersey,8302,956,2011-07-18,84000
338155,6,2,0.22,Middletown,Delaware,19709,3725,2002-06-18,495000
338163,3,1,0.2,Middletown,Delaware,19709,1827,2020-06-03,240000
338168,4,1,0.22,Bridgeton,New Jersey,8302,1008,2000-01-05,154900
338173,7,3,1.64,Middletown,Delaware,19709,5075,1999-11-29,850000
338174,4,4,0.4,Middletown,Delaware,19709,3000,2000-12-06,545000
338175,4,5,11.0,Middletown,Delaware,19709,4150,1990-06-01,1300000
338190,3,1,0.18,Middletown,Delaware,19709,1000,2017-10-10,225000
338195,3,3,0.06,Middletown,Delaware,19709,2000,2019-08-02,359900
338196,4,4,0.25,Middletown,Delaware,19709,5500,2018-11-08,660000
338200,3,1,0.26,Middletown,Delaware,19709,1100,2006-07-07,225000
338207,3,3,0.13,Middletown,Delaware,19709,2900,2015-01-23,350000
338211,3,3,0.09,Middletown,Delaware,19709,1900,2020-03-17,399000
338212,3,3,0.13,Middletown,Delaware,19709,1750,2010-06-07,295000
338213,4,3,0.11,Middletown,Delaware,19709,2175,2016-01-29,339900
338218,4,4,0.25,Middletown,Delaware,19709,4000,2012-04-04,699000
338221,3,2,0.17,Middletown,Delaware,19709,1750,2013-11-12,439900
338222,4,2,0.22,Middletown,Delaware,19709,2700,2017-03-07,540000
338223,6,4,0.42,Middletown,Delaware,19709,3300,2021-01-07,620000
338224,6,4,0.22,Middletown,Delaware,19709,3300,2021-01-07,601000
338232,3,4,0.4,Odessa,Delaware,19730,3725,1998-11-23,649000
338233,3,4,0.06,Middletown,Delaware,19709,1900,2012-11-01,395000
338235,3,3,0.05,Middletown,Delaware,19709,1425,2004-12-20,230000
338238,3,3,0.12,Middletown,Delaware,19709,1750,2016-11-01,305000
338239,4,4,0.23,Middletown,Delaware,19709,2375,2000-10-02,520000
338241,3,3,0.05,Middletown,Delaware,19709,2325,2016-11-18,355000
338243,3,2,0.05,Middletown,Delaware,19709,1250,2008-04-14,245000
338244,3,4,0.1,Middletown,Delaware,19709,2800,2021-06-28,450000
338247,3,1,0.9,Bridgeton,New Jersey,8302,1917,2014-03-11,239900
338249,4,3,0.75,Middletown,Delaware,19709,2775,1998-05-13,510000
338250,5,4,0.3,Middletown,Delaware,19709,4625,2007-02-28,750000
338251,4,3,2.0,Middletown,Delaware,19709,2900,1994-05-31,488000
338252,5,4,0.14,Middletown,Delaware,19709,3350,2011-08-04,595000
338262,3,2,0.05,Middletown,Delaware,19709,1670,2013-04-02,255000
338265,3,3,0.05,Middletown,Delaware,19709,1150,2006-05-22,245900
338266,4,3,1.03,Middletown,Delaware,19709,2400,2013-03-01,494900
338267,3,3,0.07,Middletown,Delaware,19709,1725,2002-03-07,325000
338270,3,3,0.06,Middletown,Delaware,19709,2125,2012-05-01,355000
338273,4,3,0.5,Middletown,Delaware,19709,2850,2018-07-03,595000
338274,4,3,0.17,Middletown,Delaware,19709,3600,2015-02-09,475000
338275,2,2,0.23,Middletown,Delaware,19709,1950,2005-11-17,399900
