,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price
314590,6,5,0.06,Newark,New Jersey,7103,3400,2016-10-28,700000
314662,4,3,0.69,Branchburg Township,New Jersey,8876,4372,1997-08-26,779500
314741,6,6,2.05,Warren Twp,New Jersey,7059,3408,,945000
314742,4,3,0.19,Somerville,New Jersey,8876,2248,2006-09-25,525000
314810,4,4,0.36,Readington Twp,New Jersey,8889,2344,2019-09-16,660000
314823,5,4,1.66,Readington Twp,New Jersey,8889,4500,2010-06-01,899000
314841,4,3,1.02,Branchburg Township,New Jersey,8876,2150,2015-06-01,599900
314842,2,3,0.23,Branchburg Township,New Jersey,8876,1593,2018-11-20,309900
314885,2,2,0.01,Branchburg,New Jersey,8876,1320,2021-01-26,259900
314989,5,5,0.17,Westfield,New Jersey,7090,3550,2017-11-03,1350000
314999,3,2,0.79,Whitehouse Station,New Jersey,8889,1200,,300000
315003,3,3,1.82,Readington Twp,New Jersey,8889,2016,,535000
315056,3,2,4.84,Branchburg,New Jersey,8876,1386,,900000
315160,2,2,0.14,Readington Twp,New Jersey,8889,1931,,679900
315242,5,5,4.12,Mendham Township,New Jersey,7960,3962,,1159000
315245,2,1,0.05,Raritan,New Jersey,8869,1200,2021-12-27,275000
315248,4,2,0.53,Hillsborough Twp,New Jersey,8844,1907,,489999
315251,1,2,85.0,Bernardsville,New Jersey,7924,1511,,895000
315259,3,3,0.11,Branchburg Township,New Jersey,8876,1732,1988-01-25,439000
315260,4,3,0.94,Bridgewater Twp,New Jersey,8807,3010,1989-08-01,749000
315285,4,4,1.78,Readington,New Jersey,8833,3954,2015-07-20,844900
315292,4,3,1.77,Readington Twp,New Jersey,8889,1872,2016-08-26,569000
315319,4,2,0.11,Plainfield,New Jersey,7063,2062,,349900
315343,3,2,0.17,Milltown,New Jersey,8850,1300,2005-07-14,325000
315347,6,6,0.42,East Brunswick,New Jersey,8816,5050,2022-03-08,999900
315348,4,4,0.11,Highland Park,New Jersey,8904,2746,2019-04-08,744888
315359,3,3,0.34,Plainsboro,New Jersey,8536,1697,2006-07-31,480000
315363,5,5,2.55,South Brunswick,New Jersey,8852,3700,,1500000
315369,6,3,3.97,Bridgewater Twp,New Jersey,8836,3994,,1500000
315370,2,1,0.02,Staten Island,New York,10303,847,2006-07-24,235000
315372,1,2,0.01,Princeton,New Jersey,8540,1213,2013-10-02,250000
315374,4,2,0.06,Elizabeth City,New Jersey,7206,2200,,299000
315376,3,2,0.31,Parlin,New Jersey,8859,1925,2001-05-22,449900
315380,6,3,0.07,Elizabeth City,New Jersey,7206,4535,2013-03-13,449000
315385,2,3,0.0,Edison,New Jersey,8820,1431,,350000
315386,3,2,0.11,Iselin,New Jersey,8830,1308,,359900
315394,4,2,0.11,New Brunswick,New Jersey,8901,1544,1986-06-09,489900
315395,3,2,0.27,Milltown,New Jersey,8850,1590,2011-10-31,499900
315396,5,3,0.14,Iselin,New Jersey,8830,1932,2009-03-24,539900
315402,6,7,0.45,Piscataway,New Jersey,8854,4580,2020-03-05,1485000
315404,5,2,0.1,North Brunswick,New Jersey,8902,1258,2021-03-03,290000
315406,3,1,0.11,New Brunswick,New Jersey,8901,698,2021-02-09,240000
