,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price
294895,3,2,0.07,Rockaway Park,New York,11694,1620,,889000
294917,6,5,0.16,Brooklyn,New York,11210,4902,,2999000
294919,6,4,0.06,Brooklyn,New York,11214,2320,,1599000
294926,5,4,0.07,Rockaway Park,New York,11694,2576,,1175000
294936,4,3,0.05,Brooklyn,New York,11214,2280,,2388000
294964,3,2,0.05,Brooklyn,New York,11229,1368,,1279000
294969,6,2,0.06,Brooklyn,New York,11236,2160,,980000
295066,4,3,0.05,Brooklyn,New York,11235,1877,,1299000
295103,6,2,0.05,Brooklyn,New York,11214,1968,,999900
295115,3,2,0.06,Brooklyn,New York,11234,1512,,829000
295163,3,1,0.06,Brooklyn,New York,11234,1376,,699000
295164,3,4,0.09,Fresh Meadows,New York,11365,2360,,1298000
295171,3,2,0.07,South Ozone Park,New York,11420,1360,,415000
295193,4,4,0.22,Fair Lawn,New Jersey,7410,10000,,690000
295199,3,1,0.22,Hamburg,New Jersey,7419,1180,,150000
295205,1,1,0.13,West Milford,New Jersey,7421,835,,225000
295206,2,1,0.22,Vernon,New Jersey,7422,798,,90000
295212,3,1,0.29,Vernon,New Jersey,7422,1450,,490000
295216,4,5,0.92,Mahwah,New Jersey,7430,6000,,998000
295222,4,2,0.17,Pearl River,New York,10965,1856,,575000
295223,2,1,1.87,Newark,New Jersey,7104,998,,225000
295227,4,3,0.57,Pomona,New York,10970,2648,,800000
295229,4,5,0.55,Rockaway,New Jersey,7435,5945,,2200000
295231,5,2,0.14,Dover,New Jersey,7801,1920,,475000
295232,3,2,0.26,Vernon,New Jersey,7462,1680,,309900
295240,2,2,0.06,Oakland,New Jersey,7436,930,,229777
295245,2,1,0.82,Ogdensburg,New Jersey,7439,856,,294900
295261,1,1,0.1,Franklin Lakes,New Jersey,7417,4356,,245000
295269,8,4,0.5,Hamburg,New Jersey,7419,2688,,699000
295271,4,3,1.14,Hardyston,New Jersey,7419,2700,,619900
295272,5,3,1.18,Hardyston,New Jersey,7419,3100,,659900
295273,5,2,0.29,West Milford,New Jersey,7421,1556,,464900
295288,7,3,2.2,Byram Township,New Jersey,7874,2600,,599000
295290,4,3,1.5,Hardyston,New Jersey,7419,3200,,329000
295293,4,3,1.01,West Milford,New Jersey,7480,3000,,699900
295300,5,5,52.3,Andover,New Jersey,7848,6378,,985000
295303,3,2,0.23,Byram Township,New Jersey,7821,1580,,299999
295304,4,2,6.0,Green Township,New Jersey,7860,4700,,819999
295308,5,4,0.47,Mine Hill,New Jersey,7803,2950,,599000
295309,3,3,1.48,Wantage Township,New Jersey,7461,1812,,326000
295314,3,3,0.46,Roxbury Township,New Jersey,7876,1890,,535000
295316,6,4,0.53,Jefferson Township,New Jersey,7849,3400,,1200000
295319,4,3,3.06,Vernon,New Jersey,7462,2420,,499000
295323,4,4,4.25,Randolph,New Jersey,7869,4382,,850000
295325,4,2,0.19,Allamuchy Township,New Jersey,7840,2120,,299000
295329,3,2,0.12,West Milford,New Jersey,7480,1576,,324900
295335,3,1,2.6,Newton,New Jersey,7860,1200,,189000
295343,4,2,0.17,Roxbury Township,New Jersey,7850,1710,,350000
295345,3,3,0.38,Wharton,New Jersey,7885,1750,,449900
295356,4,4,3.75,Andover,New Jersey,7821,2840,,499000
295362,3,2,0.88,Hopatcong,New Jersey,7821,2256,,249900
295368,3,1,0.14,Jefferson Township,New Jersey,7849,1020,,255000
295372,4,3,0.3,Mount Olive Township,New Jersey,7828,2400,,629000
295374,4,2,0.17,Roxbury Township,New Jersey,7850,1435,,250000
295383,1,1,0.01,Vernon,New Jersey,7462,367,,99000
295389,3,1,0.09,Hopatcong,New Jersey,7843,1373,,275000
295391,3,2,0.22,Mine Hill,New Jersey,7803,1992,,449900
295393,8,4,1.43,Wantage Township,New Jersey,7461,29997,,609000
295394,2,1,0.11,West Milford,New Jersey,7480,640,,90000
295397,4,3,1.01,Jefferson Township,New Jersey,7849,2570,,525000
295398,4,3,0.38,Sparta,New Jersey,7871,1632,,424900
295406,3,2,1.13,Hampton,New Jersey,7860,2394,,389900
295410,6,6,0.48,Wharton,New Jersey,7885,6600,,1850000
295415,3,3,0.4,Dover,New Jersey,7801,2200,,659000
295417,4,3,3.74,Andover,New Jersey,7860,3218,,550000
295420,1,2,0.03,Dover,New Jersey,7801,1800,,539900
295425,6,3,0.13,Wharton,New Jersey,7885,2924,,450000
295426,6,2,0.22,Netcong,New Jersey,7857,19998,,399900
295427,4,2,1.05,Vernon,New Jersey,7462,2000,,374900
295432,4,3,0.34,Hopatcong,New Jersey,7843,2134,,619000
295433,4,3,0.34,Hopatcong,New Jersey,7843,2308,,629000
295434,4,3,0.34,Hopatcong,New Jersey,7843,2447,,649000
295436,2,1,0.54,Vernon,New Jersey,7461,1100,,225000
295437,3,2,1.14,Green Township,New Jersey,7860,1824,,375000
295441,4,4,7.5,Stillwater,New Jersey,7860,5267,,899900
295446,2,1,2.0,Wantage Township,New Jersey,7461,924,,275000
295450,2,1,0.1,Wharton,New Jersey,7885,2480,,339000
295458,5,4,0.23,Andover,New Jersey,7821,2522,,324900
295461,3,2,0.31,Newton,New Jersey,7860,2328,,320000
295462,3,3,4.6,Jefferson Township,New Jersey,7438,2392,,499000
295471,6,6,3.02,Kinnelon,New Jersey,7405,6485,,1175000
295474,3,2,0.15,Franklin,New Jersey,7416,1680,,235000
295477,4,2,0.7,Stillwater,New Jersey,7860,2000,,399900
295478,2,1,1.05,Rockaway,New Jersey,7885,1200,,325999
295484,1,1,0.02,Vernon,New Jersey,7462,717,,169900
295488,4,2,7.58,Green Township,New Jersey,7860,3000,,589900
295514,5,3,0.18,Hopatcong,New Jersey,7849,2510,,645000
295518,3,4,0.82,Wayne,New Jersey,7470,4968,,1125000
295529,4,3,1.11,Warwick,New York,10990,2850,,710000
295530,4,3,1.0,Warwick,New York,10990,2600,,669000
295531,3,1,0.12,Wanaque,New Jersey,7465,1200,,355000
295532,4,3,1.5,Warwick,New York,10990,2600,,669000
295533,4,3,1.5,Warwick,New York,10990,2675,,700000
295534,4,3,1.5,Warwick,New York,10990,2850,,710000
295535,4,3,1.5,Warwick,New York,10990,2763,,710000
295536,4,3,1.5,Warwick,New York,10990,2763,,684000
295541,4,4,6.0,Warwick,New York,10990,3315,,699000
295545,4,3,1.5,Warwick,New York,10990,2547,,739000
295549,4,4,7.1,Warwick,New York,10990,2700,,849000
295551,9,10,2.7,Tuxedo Park,New York,10987,9270,,3995000
295564,4,3,0.98,Washington Township,New Jersey,7930,2854,,649000
295583,3,3,1.05,Andover,New Jersey,7821,45955,,589900
295610,4,2,0.48,Byram Township,New Jersey,7821,1850,,315000
295622,3,2,0.28,Ringwood,New Jersey,7456,1370,,365000
295629,4,4,2.9,Chester Township,New Jersey,7930,3836,,699900
295655,4,3,0.66,Washington Township,New Jersey,7853,2262,,499900
295657,5,4,3.8,Monroe,New York,10950,3434,,749000
295666,4,2,0.25,Mount Olive Township,New Jersey,7836,1560,,375000
295685,3,3,1.0,Monroe,New York,10950,1975,,485000
295760,4,4,1.12,Randolph,New Jersey,7869,2706,,558900
295761,4,5,14.48,Sugar Loaf,New York,10918,5539,,2400000
295780,4,2,0.23,Wharton,New Jersey,7885,1366,,369900
